,author,content,date,retweets,likes,url
305,fyizakaya,Featuring our Yakiniku Foie Gras Truffle Don. Burst the runny onsen egg ğŸ¥š and mix everything together for a delicious bite!-Dig into our delicious Teishoku now! Available daily during lunch and 5pm-7pm.-ğŸ“Call us at 6443 0400 or https://tinyurl.com/y2gz59nv to reserve a table!-#FYIzakaya #FreakinYummy,19/3/21,,,
306,fyizakaya,#savefnbsg #loveyourlocalsg #supportlocalsg #sgunited #fooddelivery #foodgasm #foodphotography #foodporn #foodspotting #foodstagram #buzzfeedfood #buzzfeast #gastronomia #getinmybelly #nomnom #huffposttaste #foodiee #singapore #hungrygowheresg #sgfood #grabfoodsg #foodpandasg #kulukulu #japanesefood #hungrygowhere,19/3/21,,,
307,fyizakaya,Our FYI Teishoku includes:ğŸ› Tempura TendonğŸ› Buta Katsu Curry DonğŸ› Salmon Mentai Yaki DonğŸ› Ebi Fry Kare Don-Enjoy them now during lunch hours and 5pm-7pm daily!-ğŸ“Call us at 6443 0400 or https://tinyurl.com/y2gz59nv to reserve!-#FYIzakaya #FreakinYummy,19/3/21,,,
308,fyizakaya,#savefnbsg #loveyourlocalsg #supportlocalsg #sgunited #fooddelivery #foodgasm #foodphotography #foodporn #foodspotting #foodstagram #buzzfeedfood #buzzfeast #gastronomia #getinmybelly #nomnom #huffposttaste #foodiee #singapore #hungrygowheresg #sgfood #grabfoodsg #foodpandasg #kulukulu #japanesefood #hungrygowhere,19/3/21,,,
309,wishuponatart,"< S A L E S > Mark your calendar, seriously, cos @foodpandasg is having their first pandamart day on 23-24 Mar 2021, where shoppers can enjoy up to 50% off on >1000 products on pandamart!What you see here is just a tiny fraction of whatâ€™s gonna be available during the sales! Happy shopping on a wide range of products, from food to beauty to personal care to baby products and more!ğŸŒ¸FURTHER PROMOğŸŒ¸Quote <UOBMARTDAY> to receive extra $10 off $40 (for UOB card members only)....#sp #foodpandasg #pandamartsg #sgpromo #sgsales #sgdeals #sgdeal #sgpromotion #sgeats #flatlay #foodflatlay #tastyflatlay #sgig #singaporeinsiders #foodgram #instafood #foodphotography #wishuponatart_eats",19/3/21,,,
310,_boyz86,Wow that's great!,19/3/21,,,
311,dingsleepy,OMG I GOT THAT PHONE STRAP ALSO AHAHAHha,20/3/21,,,
312,makanwarrior,Nice flatlay!,19/3/21,,,
313,sugar73,I canâ€™t wait too!!! ğŸ‘ğŸ‘ğŸ‘,19/3/21,,,
314,nikolai_wee,Nice ğŸ‘,19/3/21,,,
315,dressacake,So convenient,19/3/21,,,
316,lindesiree,Lotte snacks r my favourite ğŸ¤©,19/3/21,,,
317,wafflenessa,Wow thats huge savings!!,19/3/21,,,
318,dangimhungry,Woow a great selection ğŸ˜,19/3/21,,,
319,serenetomato,Always looking out for sales ğŸ˜‰,19/3/21,,,
320,jaxlyx,The snacks look so good ğŸ˜‹,19/3/21,,,
321,foodilicious_diva,Love their App ğŸ˜,20/3/21,,,
322,myfarrahdise,Wow sale can't wait!,20/3/21,,,
323,bryanongyy,Great haul from foodpanda,19/3/21,,,
324,thefatfam_,So many snacks ğŸ˜,19/3/21,,,
325,darr3n0ng,So many goodies,19/3/21,,,
326,mylifeas_revehsha,Wah looks so nice,19/3/21,,,
327,foodiejerm,Wow sounds good,20/3/21,,,
328,leptonyxscript,Always admire ur shots!!ğŸ‘ğŸ‘,19/3/21,,,
329,iam_shirleytung,Great deal,20/3/21,,,
330,kevin_the_hiak,Wahhh good offer mei @wishuponatart,19/3/21,,,
331,nusantara.singapore,Asam Pedas at Nusantara Singapore. â€œSour & spicyâ€ salt water fish cooked in tangy & spicy broth is sure to tantalize your taste buds! â Try this delicious dish at Fraser Towers from Monday through Friday from 11:30 am.â â ,19/3/21,,,
332,nusantara.singapore,#fishbowl #nusantarasingapore #nusantarasg #fraserstower #ricebowl #pokebowl #foodsg #sgfoodie #singapore #igsg #sgeats #instafood #sgfood #sgfoodies #foodpornsg #instafoodsg #sgfoodporn #foodiesg #asampedas #malayfood #indonesianfood #singaporeanfood #igsgfood #foodpandasg #supper #lunchsg #sglunch #sgdinner #dinnersg,19/3/21,,,
333,nikolai_wee,Super yummy delicious ğŸ¤¤,19/3/21,,,
334,madamwongs.sg,"Steeped in rich Chinese heritage, Madam Wong's is here to change 'Chinese Takeout' for good, serving quality asian home cooking for family and friends to enjoy together. Celebrate tradition, order now from our link in bio!#madamwongs #madam #wong #chinesefood #chinesetakeout #americanchinese #american #expat #expatchinesegroup #tgif #positivevibes #deliveroosg #foodpandasg #grabfoodsg #oddleeats #sgmakan #sgfood #diarymakan",19/3/21,,,
335,alainlicious,"#TGIF Happy Fryday! ! I wonder who came up with the idea of putting fries ğŸŸ and mac & cheese on pizza? And combining tabletop games ğŸ® into the meals - thatâ€™s @the_priorityclub where you can level up your day/night with pizzas, pastas, drinks and fun!A first of its kind delivery concept conceived by the creative folks at Da Paolo Group @dapaolosg, making food delivery a lot more entertaining! ğŸ¤© Kudos to the food packaging that is convertible into a game of chess and playing cards, we can now Eat . Play . Drink all-in-one.The menu is quirky, bold in flavours, yet tasty enough for everyone to enjoy. Try #PriorityPizza ğŸ• options like #CurryCurryRevolution that features Japanese curry and golden fries on dough, #64bitKebabs is a pizza marriage of Italian and Turkish cuisine, and #TruffleMacAttack is a vegetarian friendly pizza loaded with truffle mac and cheese.You can also find a range of #PriorityPasta ğŸ and sides include handmade Beef Meatballs with Swedish Gravy, Popcorn Chicken with one choice of dip - Japanese Curry, Swedish Gravy, Greek Garlic Yoghurt, Mentaiko Sauce. Thereâ€™s also beverages ğŸ¥¤ like beer, cocktail and fruity & floral Sakura and Luna cold brew Prioriteas.Enjoy Free Delivery on orders above $50 via www.thepriorityclub.com. Bundle deals for 2 to 4 players start from $52.90 comes with 1 pizza, 2 sides, 2 teas and a free chess set. Delivery ğŸ›µ is also available on @grabfoodsg, @foodpandasg and @deliveroo_sg but for a la carte orders with 20% off all sides and teas. Now, whatâ€™s your priority? #food #thepriorityclub",19/3/21,,,
336,alainlicious,......#foursquare #foursquarefind #stayathome #eatathome #pizza #delivery #sgforsg #savefnbsg #pizzalover #pizzatime #fries #grabfoodsg #foodpandasg #deliveroosg #thepriorityclubsg,19/3/21,,,
337,elviraho,how i miss singaporeğŸ˜­ğŸ˜­ğŸ˜­,19/3/21,,,
338,alainlicious,"@elviraho when everything is over, ğŸ˜· welcome you back! ğŸ˜",19/3/21,,,
339,rozawillis,Howâ€™s the fries on pizza??,19/3/21,,,
340,alainlicious,"@rozawillis the flavours are acceptable, but need to share with bigger group cos #carbsoncarbs a little too heavy and fills me up very quickly!",20/3/21,,,
341,birdfolks.sg,"Crispy toasted crust and a soft fluffy texture inside smothered in the sweet, sticky condensed milk is simplicity at its best! Perfect for a quick bite or to share ğŸ¤—â €#birdfolkssgâ €",19/3/21,,,
342,birdfolks.sg,â €.â €#supportlocalsg #deliverysg #burpple #foodinsing #sgunitedâ €â €#westcoast #clementi #jurongeast #nussg #jurongâ €â €â €#grabfoodie #foodpandasg #deliveroosg #sgfooddelivery #islandwidedeliveryâ €â €#exploresingaporeeats #sgfoodie #sgfood #eatoutsg #setheatsâ €â €#cafesg #sgcafefood #sgcafehopping #sgcafe,19/3/21,,,
343,hi.riyah_weightlost_journey,"SIAPE KAT, LELEKI TAK PERLU DIETIni results mereka ~1st photo, total lost 30kg2nd photo, lost 13kg in 1 season3rd photo, lost 12kg in 1 seasonBest kan ringgan je nk jalan skrg... Guys yg betul2 nk lose weight, ader determination & dedication, ikut programme, meal plans rapat2 mesti dpt better results yg sgtÂ² amazing sbb you all ader higher metabolism.Click link in bio to to know more about the programme.Whats provided in our programme:âœ´ 1 season, 25 daysâœ´ Meal plan providedâœ´ Recipes providedâœ´ Health topicsâœ´ Group coaching & supportâœ´ Combo workout video#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workinglife #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",19/3/21,,,
344,getfit.nisah,"BERGAYA BERKEBAYA DI HARI RAYA! ğŸ’ƒğŸ»ğŸ’ƒğŸ».Nampak kan reshape tu? Makin mengecil dah! Amazing sangat! Tau tak bila kita berpuasa dan jaga makan at the same time, process penurunan berat badan akan jadi 40% lebih lajuuu berbanding dengan bulan2 yg lain. So why not take this chance to start the journey!.April intake akan bermula 3rd April. Get ready for Ramadhan! ğŸ¥°ğŸ¥°.Click link in BIO to know more details about the programme..ğŸ’•25 days programmeğŸ’•Meal plan providedğŸ’•Recipes providedğŸ’•Group coachingğŸ’•Combo workout#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workingmum #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",19/3/21,,,
345,cforcoffeee,"You can enjoy the convenient in just one click! ğŸ¥° I got all these snacks from @cheers_sg delivered to my doorstep from foodpanda shops - a creative way to fix my food cravings during office hour!@foodpandasg having their brand weeks promotion now valid from 15-21 March 2021.Donâ€™t miss the chance to enjoy 30% off top brand brands like Kuriya, @guardiansg , @cheers_sg , @marksandspencer_sg , @mothercaresg , @godivasingapore and many more on foodpanda shops with code <SHOPSBW3> minimum order of $15, you will be able to enjoy max discount of $10! Happy Friday! ğŸ¥°#foodpandasg",19/3/21,,,
346,qingwennc,ğŸ˜ğŸ˜,19/3/21,,,
347,cforcoffeee,@qingwennc more snacks ğŸ™Œ,19/3/21,,,
348,shichuann,Add to cart now ğŸ›’,19/3/21,,,
349,cforcoffeee,@shichuann fast and furious ğŸ”¥ğŸ”¥,19/3/21,,,
350,qinlovesmacaronsss,i love your illustration babe. top notch! i keep buying from guardian and kuriya. just nice there are at my area! hehe,20/3/21,,,
351,makanwarrior,"@foodpandasgHow many of you dread being stuck in a queue and waiting forever for your turn to order?! Well good news for you! Now you need not as @foodpandasg is offering up to 30% off full menu for selected restaurants (or 15% off all other restaurants!) when you Pick-Up your order! Itâ€™s that simple!ğŸ”»All you have to do is to click into the pick up section of the food panda app, and then select from the extensive selection and head over to collect! No queues, no long wait! Very simple and straightforward!ğŸ”»I did my pick up with @aoneclaypot at it was a breeze with my food waiting for my arrival and on top of that, I still have my discount! What more could you ask for?!ğŸ”»From now till end of March Enjoy 30% off FULL MENU from selected restaurants (Dominos, Long John Silve, Hans Im Gluck, Subway, Tim Ho Wan, Manhattan Fish Market, Wafuken, Wing Zone, Shake Farm, Fat Burger, A-One ) when you select Pick-Up order! Hurry and start picking up now!ğŸ”¹ğŸ”¹ğŸ”¹ğŸ”¹ğŸ”¹#aoneclaypot#aoneclaypotsg#foodpanda#foodie#eatsg#foodpandasg#sgunited#foodpandapickup#sgunited#sgfoodporn#pickup#sgfoodtrend#sgfood#foodsg#foodporn#makanwarrior#instasg#foodpics#foodgasm#instasg#sgfoodies#openrice#sgmakandiary#savefnbsg#STFoodtrending",18/3/21,,,
352,princessezyt,Me me me!!!! Mai Tu Liao ğŸ”¥,18/3/21,,,
353,darr3n0ng,So convenient,18/3/21,,,
354,sweetsncrackers,ğŸ¤¤ğŸ¤¤,18/3/21,,,
355,dingsleepy,Yahs I canâ€™t live without food apps â¤ï¸â¤ï¸â¤ï¸,19/3/21,,,
356,_boyz86,Bowls of goodness,18/3/21,,,
357,adibeevince,ğŸ˜ğŸ˜ğŸ˜,18/3/21,,,
358,vincentfoodstagram,"Slurp slurp, so delicious! My favourite ğŸ¤¤ğŸ¤¤ğŸ¤¤",18/3/21,,,
359,foodee.diaree,love your shofs â¤ï¸,18/3/21,,,
360,wafflenessa,Yes food delivery for no queues pls ğŸ˜‚,18/3/21,,,
361,jacinthawee,So convenient!,18/3/21,,,
362,thehungryfeet,Wow great deal ğŸ™Œ,18/3/21,,,
363,travlim,Yea bro the pick up function is convenient! Plus the discounts! ğŸ‘,18/3/21,,,
364,thehedgehogknows,Comforting fried rice!,19/3/21,,,
365,karhingc,Great deals ğŸ˜,18/3/21,,,
366,foodiegoh,Love their porridge!ğŸ˜,18/3/21,,,
367,food.ally,What a great offer! 30% is quite substantial ğŸ‘ğŸ¼,19/3/21,,,
368,zanthrea,I always order from fp too! Other apps are more ex ğŸ˜‚ğŸ˜‚ğŸ˜‚,18/3/21,,,
369,thefoodadv,Wah so convenient!,18/3/21,,,
370,fatspoting,Wah nice shots! DroolingğŸ¤¤,19/3/21,,,
371,florencesjah,Yummy ğŸ˜ğŸ˜,18/3/21,,,
372,lindesiree,Sounds good le...I donâ€™t like to queue too...especially now with all the social distancing...,19/3/21,,,
373,sgmamarazzi,Me!!! Hee.. hate queues,19/3/21,,,
374,goofytwocooks,Great deal! ğŸ”¥,18/3/21,,,
375,bryanongyy,I love dinning there with colleagues now that they have takeaway on Foodpanda!,18/3/21,,,
376,apple_miss_whatever,So convenient ğŸ˜,20/3/21,,,
377,whatoeatagain,So many selected restaurants to choose from! ğŸ‘ğŸ¼,18/3/21,,,
378,thefatfam_,Lovely shots ğŸ˜,19/3/21,,,
379,qinlovesmacaronsss,good service ğŸ‘,18/3/21,,,
380,shewyn_fantasia,So convenient,18/3/21,,,
381,fj.mama,Love their porridge,18/3/21,,,
382,shiyin_t,Omg love your shots as always! Love the layout too! Wa I also want to eat..time to order @foodpandasg soon ğŸ˜ğŸ˜,18/3/21,,,
383,bbjiaksimi,So many food options â¤ï¸,18/3/21,,,
384,sggabilicious,Omg im so drawn by it as you took that to look so delightful!ğŸ˜,19/3/21,,,
385,thecuriouspuntato,Looks so good ğŸ˜ fried rice!!!,18/3/21,,,
386,thehungertrack,Wow a great deal from them again! ğŸ¤©,18/3/21,,,
387,baking_taitai,Convenient & good deal! ğŸ‘,19/3/21,,,
388,msjaniceeats,Their fried rice is yummy. ğŸ‘,19/3/21,,,
389,janiqueel,How convenient ğŸ’,18/3/21,,,
390,dinneratcartier,I always order ahead now too!,18/3/21,,,
391,fluffyunicorneats,Thatâ€™s so convenient,18/3/21,,,
392,foodiejerm,Love that scoop,18/3/21,,,
393,sugarylink,I dread Lor so tired man tis is so convenient,18/3/21,,,
394,cennds,Sometimes Self pick up is faster,18/3/21,,,
395,ariane.le,Did self pick up with foodpanda recently too and it's such a breeze man! ğŸ’¯,21/3/21,,,
396,qingxiangsqx,"Wa great promo bro, and your shots are wow!",19/3/21,,,
397,mylifeas_revehsha,Omg Iâ€™m so hungry ğŸ˜,18/3/21,,,
398,cassakating,Ya lor I donâ€™t like to queue sometimes,20/3/21,,,
399,international_money_coll_01020,"ASSALAMUALAIKUM,MY BROTHER AND SISTERS DONT THROW AWAY YOUR OLD MONEY(coin&note)BRING ALL TO ME AND MAKE HUGE MONEY FROM YOUR OLD ITEMS",18/3/21,,,
400,myjream,I REFUSE TO QUEUE LOL,21/3/21,,,
401,bangaloreiyengarbakerysg,Guess what???ğŸ‚#sgcakes #sgbakes #sgfood #sgfoodies #sgvegetarian #sgfoodies #sgcafe #foodpandasg #deliveroosg #grabfoodsg #sgcakesofinstagram #sgcakery #sgcakedelivery,18/3/21,,,
402,hi.riyah_weightlost_journey,"IZZIT BAJU DA BESAR?ğŸ¤­ nope that's not her twin/sister. The same person after a period of time eating clean and exercising.Yg gambar kanan tu selepas ikuti programme yg guide kiter makan 5-6 kali sehari.Nk tahu lebih lanjut, sila picit link di bio saya lajuÂ² tau... Sebelum slots fill upğŸ˜‰#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workinglife #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",18/3/21,,,
403,"ryanxgo
Verified","Swipe to see how I run away from @bombiibii whiningğŸƒğŸ»â€â™‚ï¸Finally got a break to enjoy my PS5 & snacks from @foodpandasg ğŸ¤¤If you wanna enjoy like me, hereâ€™s some good news for you!foodpanda is giving away 5 x #PlayStation5ğŸ˜± Stand 1 chance for every 3 orders on pandamart; or every 2 orders on foodpanda shops = 1 chance when you spend a minimum spend of $20 per order!Hack: Check out my IGS to find #foodpandasg discount codes for up to $15 off, applicable for all foodpanda shops and pandamart till the end of March 2021!â˜˜ï¸Contest ends 31 March 2021â˜˜ï¸#nocpartners",18/3/21,,,
404,bochaoooo,Im suaku can someone tell me whats IGS,20/3/21,,,
405,"ryanxgo
Verified",@bochaoooo instagram story,20/3/21,,,
406,cherylenechan,LMAO THE VIDEO ğŸ˜‚ğŸ˜‚ğŸ˜‚,18/3/21,,,
407,tasselline,â¤ï¸,18/3/21,,,
408,tasselline,â¤ï¸â¤ï¸,18/3/21,,,
409,samin.yasharxl,ğŸ˜ğŸ˜ğŸ˜,18/3/21,,,
410,namjaunni,Why so cute one,18/3/21,,,
411,ventisshrine,firstt,18/3/21,,,
412,jeraldfoo,Lies... I see you coming back at the end... ğŸ”¥,18/3/21,,,
413,juliusperezvelasco,Hahaha PS5 is not real.,19/3/21,,,
414,old_money_exchange_world_,"ğŸ’¸WE DEAL IN BUYING AND SELLING OF OLD MONEYğŸ”´DUIT LAMAğŸ‡²ğŸ‡¾ğŸ‡¸ğŸ‡¬ğŸ‡§ğŸ‡³ğŸ”´DUIT SYILLING ğŸ‡²ğŸ‡¾ğŸ‡¸ğŸ‡¬ğŸ‡§ğŸ‡³ğŸ”´TEMBAGAğŸ‡²ğŸ‡¾ğŸ‡¸ğŸ‡¬ğŸ‡§ğŸ‡³ğŸ”´1SEN-25SENğŸ‡²ğŸ‡¾ğŸ‡§ğŸ‡³ğŸ”´RM1-RM50ğŸ‡²ğŸ‡¾E.T.CğŸ’¸RM10,000 EACHğŸŒğŸ“–",18/3/21,,,
415,daniel_cvc,@foodpandamy got ma?,18/3/21,,,
416,botak.motor.tiam,#kiteridertiadabezaThank you all for support â¤ï¸#sgbikes #sginstabikes #sgmotors #singaporebikes #sgriders #sglocal #sgbikers #sgbikerslife #sgbikelife #singapore #singaporebikers #sglocalbusiness #aeroxsg #y15zrsg #sniper150 #xmaxsg #nmaxsg #xmaxnation #pcxsingapore #sgpromo #sgpromotion #grabfoodsg #deliveroosg #foodpandasg #hondawavesg #deliveryherosg #deliverysg #deliveryrider,18/3/21,,,
417,abdullahyishuni,â¤ï¸ğŸ”¥,18/3/21,,,
418,hi.riyah_weightlost_journey,"ğŸ¤£kesian tu weighing scale....Dier cuma bilang yg benar... kiter je yg tknk percaya a.k.a in denial.Biler last kiter scale diri? Dulu saya selalu avoid... seram tgk weight sendiriğŸ¤­Sejak mula clean eating, mingguÂ² saya check. Ader saje KG yg menghilang.Nak tahu mcm mana?Jom click on link in bio#nakkurus #jomkurus #bestkurus #beforeandafter #diettips #tipskurus #resipisihat #eatclean #eatcleandiet #eatcleanrecipes #makansedap #singapore #singaporefood #workinglife #hotdeals #singaporesale #activesg #teamnickhinhussein #teamahmadmizah #teamdillanur #teamnisahsohor #tv3 #mediacorp #viralpost #halalsg #halalfood #popular #foodpandasg #shopeesg #cute",18/3/21,,,
419,"hotstarsingapore
Verified",#FoodpandaContestAlertGet a chance to win 1-year Hotstar subscription! Head to @foodpandasg to find out more.#Hotstar #Singapore #FoodpandaSG,18/3/21,,,